strainID,Assay Raw
M651,0.3738
M651,0.3982
M651,0.4803
M651,0.401
M651,0.413
M651,0.405
M651,0.3966
M651,0.4092
M651,0.3778
M651,0.38799999999999996
M651,0.4002
M651,0.3928
M651,0.5244
M651,0.3642
M651,0.4107
M651,0.4958
M651,0.4041
M728,0.3424
M651,0.3849
M651,0.3971
M651,0.4182
M651,0.39799999999999996
M9,0.402
M651,0.4174
M651,0.4121
M651,0.4133
M651,0.4047
M651,0.4177
M728,0.3438
M651,0.3674
M651,0.3938
M651,0.3719
M651,0.3937
M651,0.3985
M9,0.4015
M9,0.4123
M652,0.3939
M652,0.4546
M652,0.3651
M652,0.4006
M652,0.3922
M652,0.4513
M652,0.4059
M652,0.3919
M652,0.3941
M652,0.4141
M652,0.4558
M9,0.4057
M652,0.3778
M652,0.40399999999999997
M652,0.3913
M652,0.3628
M652,0.4
M652,0.3854
M652,0.3649
M652,0.39899999999999997
M652,0.401
M652,0.5255
M652,0.4219
M652,0.3964
M652,0.3889
M652,0.4079
M652,0.3933
M652,0.3806
M652,0.3862
M652,0.397
M652,0.3893
M652,0.3893
M652,0.4083
M652,0.4022
M652,0.3928
M9,0.3992
M652,0.4059
M652,0.3894
M9,0.3854
M652,0.4327
M652,0.3925
M652,0.3909
M652,0.3949
M652,0.4102
M652,0.3976
M652,0.4057
M652,0.4055
M9,0.3895
M652,0.4208
M652,0.3921
M9,0.3936
M652,0.3944
M652,0.3957
M652,0.4001
M652,0.4081
M652,0.3899
M652,0.3767
M652,0.3712
M652,0.3877
M652,0.3937
M652,0.37799999999999995
M652,0.3882
M652,0.3989
M652,0.3934
M652,0.3888
M652,0.4213
M652,0.4016
M652,0.3720000000000001
M652,0.40299999999999997
M652,0.4173
M728,0.3407
M652,0.4056
M652,0.3924
M652,0.3931
M652,0.4238
M9,0.402
M652,0.3971
M652,0.4037
M652,0.4069
M652,0.4097
M652,0.4043
M652,0.4055
M728,0.3431
M652,0.3909
M652,0.3879
M652,0.3964
M652,0.3936
M652,0.3897
M9,0.4092
M9,0.4066
M652,0.3894
M652,0.4043
M652,0.3831
M652,0.3975
M652,0.4003
M9,0.3981
M652,0.3738
M652,0.3827
M652,0.3919
M652,0.3791
M652,0.3826
M652,0.3941
M652,0.3902
M652,0.3954
M652,0.3977
M652,0.3887
M9,0.4029
M9,0.41200000000000003
M652,0.3909
M652,0.3535
M652,0.3684
M652,0.3944
M9,0.4012
M9,0.4035
M652,0.4039
M652,0.3915
M652,0.3914
